City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Dawei,MM,75.7,overcast clouds,14.0833,98.2,Hotel Dawei
403,Natal,BR,77.9,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
408,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
409,Tiarei,PF,77.52,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
413,Nouakchott,MR,80.53,few clouds,18.0858,-15.9785,HOTEL IMAN
415,Santa Rosa,PH,85.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
418,San Jose,US,74.7,scattered clouds,37.3394,-121.895,The Westin San Jose
420,Praia,CV,77.81,clear sky,14.9215,-23.5087,LT Aparthotel
422,Mutuipe,BR,68.18,scattered clouds,-13.2286,-39.5047,Hotel Portal do Vale
424,Kibala,TD,71.46,light rain,9.1104,18.3463,Prasant Hotels
426,Lufilufi,WS,81.18,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
427,Sydney,AU,74.77,moderate rain,-33.8679,151.2073,The Grace Sydney
429,Manokwari,ID,81.95,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
432,Ugoofaaru,MV,80.24,overcast clouds,5.6667,73.0,Ungoofaaru Inn
435,Sao Filipe,CV,78.67,few clouds,14.8961,-24.4956,Hotel Xaguate
437,Algeciras,ES,69.48,overcast clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
440,Sur,OM,78.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
443,La Palma Del Condado,ES,67.23,overcast clouds,37.3861,-6.5523,Tierra De Vinos
444,Kumo,NG,75.72,overcast clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
447,Orai,IN,72.73,clear sky,25.9833,79.4667,Capital O 66652 Hotel Manokamal
448,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
449,Lianzhou,CN,73.6,few clouds,24.7811,112.3825,Qingcheng Tourism Industry
450,Aswan,EG,72.95,clear sky,24.0934,32.907,Nuba Nile
457,Palauig,PH,82.35,overcast clouds,15.435,119.9045,Villa Raphael Resort
458,Hasaki,JP,73.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
460,Gondanglegi,ID,77.56,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
462,Asyut,EG,69.93,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
465,Weatherford,US,84.56,clear sky,32.7593,-97.7972,Woodland Suites
469,Tebingtinggi,ID,74.32,moderate rain,3.3285,99.1625,Hotel Malibou tebing tinggi
470,Ahuimanu,US,86.94,few clouds,21.4447,-157.8378,Paradise Bay Resort
471,Vaitape,PF,79.74,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
473,San Francisco,US,71.22,scattered clouds,37.7749,-122.4194,Edwardian Hotel
475,Sao Jose Da Coroa Grande,BR,75.88,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
477,Mayumba,GA,76.82,light rain,-3.432,10.6554,LIKWALE LODGE
479,Sola,VU,80.2,moderate rain,-13.8833,167.55,Leumerus Bungalows
484,Weston,US,76.01,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
